"Time","hestia/local/temperature.mean"
2023-03-18 21:00:00,73 °F
2023-03-18 21:25:00,72.5 °F
2023-03-18 21:30:00,72 °F
2023-03-18 22:25:00,73 °F
2023-03-18 22:40:00,74 °F
2023-03-18 22:55:00,73 °F
2023-03-18 23:30:00,72 °F
2023-03-19 00:30:00,71.4 °F
2023-03-19 02:10:00,70.3 °F
2023-03-19 03:55:00,69 °F
2023-03-19 04:00:00,69.6 °F
2023-03-19 04:05:00,69.3 °F
2023-03-19 06:10:00,68 °F
2023-03-19 08:10:00,69 °F
2023-03-19 08:15:00,69 °F
2023-03-19 08:20:00,70 °F
2023-03-19 08:40:00,71 °F
2023-03-19 08:55:00,70 °F
2023-03-19 09:20:00,69 °F
2023-03-19 09:25:00,70 °F
2023-03-19 09:35:00,71 °F
2023-03-19 09:50:00,70 °F
2023-03-19 10:25:00,69 °F
2023-03-19 21:15:00,70 °F
2023-03-19 21:25:00,71 °F
2023-03-19 21:40:00,70 °F
2023-03-19 22:40:00,69.3 °F
2023-03-19 23:00:00,70 °F
2023-03-19 23:05:00,71 °F
2023-03-19 23:15:00,70 °F
2023-03-19 23:50:00,69 °F
2023-03-20 01:20:00,68.5 °F
2023-03-20 01:25:00,68 °F
2023-03-20 03:20:00,67.5 °F
2023-03-20 03:30:00,69 °F
2023-03-20 03:50:00,68 °F
2023-03-20 04:25:00,67 °F
2023-03-20 04:30:00,68 °F
2023-03-20 04:35:00,69 °F
2023-03-20 04:55:00,68 °F
2023-03-20 05:50:00,67.5 °F
2023-03-20 06:00:00,69 °F
2023-03-20 06:20:00,70 °F
2023-03-20 06:35:00,71 °F
2023-03-20 06:50:00,72 °F
2023-03-20 07:00:00,71 °F
2023-03-20 07:15:00,72 °F
2023-03-20 07:45:00,73 °F
2023-03-20 08:00:00,72 °F
2023-03-20 08:20:00,71 °F
2023-03-20 08:25:00,72 °F
2023-03-20 08:40:00,73 °F
2023-03-20 08:55:00,72 °F
2023-03-20 09:15:00,71 °F
2023-03-20 09:20:00,72 °F
2023-03-20 09:30:00,73 °F
2023-03-20 09:45:00,72 °F
2023-03-20 10:05:00,71 °F
2023-03-20 10:45:00,70 °F
2023-03-20 10:50:00,71 °F
2023-03-20 11:00:00,72 °F
2023-03-20 11:20:00,71 °F
2023-03-20 11:45:00,72 °F
2023-03-20 12:00:00,73 °F
2023-03-20 12:25:00,72 °F
2023-03-20 13:10:00,71 °F
2023-03-20 13:15:00,72 °F
2023-03-20 13:25:00,73 °F
2023-03-20 13:45:00,72 °F
2023-03-20 14:30:00,71 °F
2023-03-20 14:35:00,72 °F
2023-03-20 14:45:00,73 °F
2023-03-20 15:05:00,72 °F
2023-03-20 16:05:00,71 °F
2023-03-20 16:10:00,72 °F
2023-03-20 16:20:00,73 °F
2023-03-20 16:35:00,72 °F
2023-03-20 17:55:00,71.3 °F
2023-03-20 18:00:00,72 °F
2023-03-20 18:05:00,73 °F
2023-03-20 18:20:00,74 °F
2023-03-20 18:35:00,73 °F
2023-03-20 19:05:00,72 °F
2023-03-20 20:50:00,71 °F
2023-03-20 20:55:00,72 °F
2023-03-20 21:00:00,73 °F
2023-03-20 21:05:00,73 °F
2023-03-20 21:25:00,72 °F
2023-03-20 22:25:00,71 °F
2023-03-20 22:30:00,71.7 °F
2023-03-20 22:35:00,73 °F
2023-03-20 22:55:00,72 °F
2023-03-20 23:45:00,73 °F
2023-03-21 00:05:00,72 °F
2023-03-21 01:00:00,71 °F
2023-03-21 02:55:00,70.3 °F
2023-03-21 05:55:00,69 °F
2023-03-21 06:00:00,70 °F
2023-03-21 06:05:00,69 °F
2023-03-21 07:30:00,70 °F
2023-03-21 08:15:00,69 °F
2023-03-21 08:20:00,69.5 °F
2023-03-21 08:25:00,69.7 °F
2023-03-21 08:50:00,71 °F
2023-03-21 09:00:00,72 °F
2023-03-21 09:25:00,71 °F
2023-03-21 17:05:00,71.5 °F
2023-03-21 17:10:00,71.6 °F
2023-03-21 17:15:00,71 °F
2023-03-21 17:20:00,71.5 °F
2023-03-21 17:35:00,72 °F
2023-03-21 17:45:00,73 °F
2023-03-21 18:55:00,72.3 °F
2023-03-21 19:00:00,72.7 °F
2023-03-21 19:55:00,72.5 °F
2023-03-21 20:10:00,72.5 °F
2023-03-21 20:30:00,72.3 °F
2023-03-21 20:35:00,73 °F
2023-03-21 20:50:00,72.5 °F
2023-03-21 21:25:00,72 °F
2023-03-21 21:30:00,73 °F
2023-03-21 21:50:00,72.3 °F
2023-03-21 21:55:00,72.6 °F
2023-03-21 22:00:00,72.3 °F
2023-03-21 22:10:00,72.6 °F
2023-03-21 22:15:00,72.3 °F
2023-03-22 06:15:00,73 °F
2023-03-22 06:20:00,72.5 °F
2023-03-22 07:05:00,72.5 °F
2023-03-22 12:45:00,73.5 °F
2023-03-22 12:50:00,73.7 °F
2023-03-22 13:10:00,73.5 °F
2023-03-22 15:15:00,73 °F
2023-03-22 15:40:00,72.5 °F
2023-03-22 15:55:00,73.5 °F
2023-03-22 16:05:00,74 °F
2023-03-22 17:00:00,75 °F
2023-03-22 20:40:00,74 °F
2023-03-22 20:45:00,73 °F
2023-03-22 20:50:00,74 °F
2023-03-22 21:10:00,74.5 °F
2023-03-22 21:15:00,73 °F
2023-03-22 21:25:00,74 °F
2023-03-22 22:00:00,74.5 °F
2023-03-22 22:05:00,73 °F
2023-03-22 22:10:00,74 °F
2023-03-22 22:50:00,74.5 °F
2023-03-22 22:55:00,73 °F
2023-03-22 23:00:00,74 °F
2023-03-23 00:05:00,74.5 °F
2023-03-23 00:15:00,73 °F
2023-03-23 00:25:00,74 °F
2023-03-23 07:30:00,74.5 °F
2023-03-23 07:40:00,73 °F
2023-03-23 07:50:00,74 °F
2023-03-23 11:35:00,74.5 °F
2023-03-23 11:50:00,73 °F
2023-03-23 11:55:00,74 °F
2023-03-23 12:45:00,75 °F
2023-03-23 12:50:00,74 °F
2023-03-23 13:00:00,73 °F
2023-03-23 13:05:00,74 °F
2023-03-23 14:00:00,74.5 °F
2023-03-23 14:20:00,73 °F
2023-03-23 14:25:00,74 °F
2023-03-23 15:10:00,74.5 °F
2023-03-23 15:35:00,73 °F
2023-03-23 15:40:00,74 °F
2023-03-23 16:05:00,74.7 °F
2023-03-23 17:35:00,75.5 °F
2023-03-23 17:40:00,75.6 °F
2023-03-23 17:45:00,75.5 °F
2023-03-23 18:30:00,75 °F
2023-03-23 18:35:00,75.7 °F
2023-03-23 22:30:00,75 °F
2023-03-23 22:40:00,74 °F
2023-03-23 22:45:00,75 °F
2023-03-23 23:05:00,75.5 °F
2023-03-23 23:15:00,74 °F
2023-03-23 23:20:00,75 °F
2023-03-23 23:25:00,75 °F
2023-03-24 00:25:00,75.7 °F
2023-03-24 00:30:00,75 °F
2023-03-24 00:35:00,74 °F
2023-03-24 00:45:00,74.7 °F
2023-03-24 02:50:00,75.5 °F
2023-03-24 02:55:00,74 °F
2023-03-24 03:05:00,75 °F
2023-03-24 06:40:00,75.5 °F
2023-03-24 06:50:00,74 °F
2023-03-24 11:00:00,75.5 °F
2023-03-24 11:10:00,74 °F
2023-03-24 11:20:00,75 °F
2023-03-24 15:45:00,76 °F
2023-03-24 15:50:00,75.5 °F
2023-03-24 16:00:00,75.5 °F
2023-03-24 19:30:00,77 °F
2023-03-24 19:35:00,76.5 °F
2023-03-24 20:35:00,76.5 °F
2023-03-24 20:40:00,76.3 °F
2023-03-24 21:05:00,76.5 °F
2023-03-24 21:10:00,76.7 °F
2023-03-24 21:15:00,76.4 °F
2023-03-24 21:20:00,76.5 °F
2023-03-25 03:50:00,75.5 °F
2023-03-25 03:55:00,75.5 °F
2023-03-25 04:00:00,75 °F
2023-03-25 07:20:00,74.3 °F
2023-03-25 10:30:00,73 °F
2023-03-25 11:10:00,74 °F
2023-03-25 13:15:00,74.5 °F
2023-03-25 13:20:00,75 °F
2023-03-25 15:10:00,76 °F
2023-03-25 15:15:00,75.5 °F
2023-03-25 16:15:00,77 °F
2023-03-25 20:05:00,76.5 °F
2023-03-25 20:10:00,76.5 °F
2023-03-25 20:20:00,76.5 °F
2023-03-25 21:40:00,76.5 °F
2023-03-25 21:45:00,76 °F
2023-03-25 21:50:00,76.7 °F
2023-03-25 21:55:00,76.3 °F
2023-03-25 22:10:00,76.7 °F
2023-03-25 22:40:00,76 °F
2023-03-25 22:50:00,76.5 °F
2023-03-26 02:10:00,75.3 °F
2023-03-26 04:30:00,74.3 °F
2023-03-26 07:25:00,73.3 °F
2023-03-26 07:30:00,73.5 °F
2023-03-26 13:45:00,72.5 °F
2023-03-26 13:50:00,72.5 °F
2023-03-26 14:15:00,72.5 °F
2023-03-27 13:00:00,73.5 °F
2023-03-27 13:05:00,74 °F
2023-03-27 16:50:00,74.5 °F
2023-03-27 16:55:00,74.7 °F
2023-03-27 17:00:00,74 °F
2023-03-27 17:15:00,75 °F
2023-03-28 05:40:00,74.5 °F
2023-03-28 06:50:00,74 °F
2023-03-28 06:55:00,74.5 °F
2023-03-28 07:00:00,75 °F
2023-03-28 07:05:00,74 °F
2023-03-28 07:10:00,75 °F
2023-03-28 07:20:00,74 °F
2023-03-28 07:35:00,75 °F
2023-03-28 07:40:00,74.5 °F
2023-03-28 08:00:00,74 °F
2023-03-28 08:05:00,75 °F
2023-03-28 08:10:00,74 °F
2023-03-28 12:40:00,73 °F
2023-03-28 12:50:00,74 °F
2023-03-28 13:00:00,73.5 °F
2023-03-28 13:05:00,73 °F
2023-03-28 13:15:00,73.5 °F
2023-03-28 13:25:00,74 °F
2023-03-28 13:30:00,73.5 °F
2023-03-28 13:35:00,73.5 °F
2023-03-28 13:40:00,73.5 °F
2023-03-28 13:50:00,73.5 °F
2023-03-28 15:10:00,73.5 °F
2023-03-28 15:15:00,73 °F
2023-03-28 15:20:00,74 °F
2023-03-28 15:25:00,73 °F
2023-03-28 15:30:00,73.5 °F
2023-03-28 15:35:00,73.7 °F
2023-03-28 16:05:00,74.5 °F
2023-03-28 16:45:00,74.5 °F
2023-03-28 17:10:00,75 °F
2023-03-28 17:20:00,74 °F
2023-03-28 17:25:00,74.5 °F
2023-03-28 17:30:00,74.6 °F
2023-03-28 17:35:00,74.3 °F
2023-03-28 17:50:00,74.5 °F
2023-03-28 18:25:00,75 °F
2023-03-28 18:50:00,74 °F
2023-03-28 20:55:00,74.5 °F
2023-03-28 21:00:00,75 °F
2023-03-28 21:05:00,74.5 °F
2023-03-28 21:10:00,74 °F
2023-03-28 21:20:00,74.5 °F
2023-03-28 21:30:00,75 °F
2023-03-28 21:35:00,74.4 °F
2023-03-28 21:40:00,75 °F
2023-03-28 21:45:00,74 °F
2023-03-28 21:50:00,75 °F
2023-03-28 21:55:00,74.5 °F
2023-03-28 22:00:00,74.5 °F
2023-03-28 22:05:00,74 °F
